Name,Age,Region,Accept
Nayah Nlend,27,Adamawa,Yes
Eposi Simbelela,32,"	North",Yes
Acha Tshika,23,Adamawa,No
Namondo Nguena,66,Central,Yes
Zonga Bella,33,"	North",Yes
Mariette Ilongè,36,"	North",No
Bella Obama,48,"	North",Yes
Caitlin Wabou,41,East,Yes
Vivienne Suh,27,"	North",No
Amelie Zanga,37,"	North",No
Ateh Malembe,21,Adamawa,No
Leynywy Iwumè,43,East,No
Ilyassa Nguo,35,"	North",No
Fru Bènga,53,"	North",Yes
Anacle Diwedi,29,"	North",Yes
Jenson Elad,29,"	North",No
Roland Babende,20,"	North",No
David Samba,24,"	North",No
Thibault Atangana,59,Adamawa,Yes
Daniel Mokaté,54,Adamawa,Yes
Liyshisha Elamè,69,"	North",No
Panbela Dokunanga,51,"	North",No
Diddi Ebot,47,"	North",No
Mambo Simba,26,East,No
Rachidatou Kimbangu,36,East,No
Stéphanie Muténgéné,30,Adamawa,Yes
Émeline Kibangi,46,Adamawa,Yes
Miryam Halidou,18,Adamawa,No
Leila Limbay,36,Adamawa,No
Alix Fako,24,Central,No
Nkanya Ezua,55,"	North",Yes
Ndamukong Mabiala,20,"	North",Yes
Anu Kimya,66,Adamawa,No
Awli Aïssatou,57,"	North",No
Rachid Malimba,43,"	North",No
Aaron Malondo,30,"	North",No
Maurice Aloumbassa,45,"	North",No
Louis Meva'a,62,Adamawa,Yes
Gervais Prizo,46,Central,Yes
Isaïe Liama,40,"	North",No
Bih Anyeni,18,"	North",No
Hadidjatou Makau,61,Adamawa,No
Atabong Simbelela,39,Adamawa,Yes
Namondo Ndoumbè,36,"	North",Yes
Nadjela Moussa,43,"	North",Yes
Katie Lamba,33,"	North",Yes
Nicole Kalala,41,"	North",Yes
Claudette Mbombo,31,"	North",Yes
Sylviane Aboya,26,"	North",No
Huguette Magouie,45,"	North",No
Yaya Simba,61,East,No
Ahmadou Edimo,34,East,Yes
Ilyassa Lihuli,22,"	North",Yes
Kouomegui Zula,52,Adamawa,No
Njongai Lumbala,63,Adamawa,No
Justin Ekoto,36,Adamawa,No
Daniel Mbappè,36,Central,Yes
Pierre Ekowa,47,"	North",Yes
Ghislain Mbia,49,"	North",Yes
Zachary Ebot,35,"	North",Yes
